Age,Gender,Education Level,Job Title,Years of Experience,Location,Work Mode,Salary
46,Male,PhD,Backend Developer,8.9,Noida,On-site,2413080
51,Female,Bachelor's,Frontend Developer,3.3,Hyderabad,Hybrid,977293
44,Female,Bachelor's,Frontend Developer,7.2,Hyderabad,On-site,1621353
29,Male,Bachelor's,Project Manager,21.1,Mumbai,Hybrid,4206748
28,Female,Master's,DevOps Engineer,20.7,Mumbai,Hybrid,3925085
45,Male,Bachelor's,QA Engineer,13.3,Gurgaon,Remote,2623119
47,Female,Master's,UX Designer,19.5,Chennai,Hybrid,3618508
32,Female,Bachelor's,Frontend Developer,1.1,Noida,On-site,722823
39,Female,Master's,Business Analyst,5.8,Gurgaon,Hybrid,1672528
33,Female,Bachelor's,HR Manager,24.8,Gurgaon,Remote,4728934
30,Female,Bachelor's,UX Designer,2.5,Gurgaon,Remote,993664
23,Male,Bachelor's,Intern,0.0,Mumbai,On-site,409689
36,Male,Master's,HR Manager,11.6,Bangalore,On-site,2944636
26,Male,Bachelor's,Product Manager,3.9,Pune,On-site,1481662
34,Male,Master's,HR Manager,15.7,Bangalore,On-site,3595230
20,Female,Master's,Intern,0.3,Chennai,Hybrid,310302
29,Male,Bachelor's,Software Engineer,3.2,Bangalore,On-site,1042611
18,Male,Bachelor's,QA Engineer,6.0,Noida,Remote,1499662
58,Male,Bachelor's,Data Scientist,6.6,Gurgaon,Hybrid,1855225
34,Male,Bachelor's,DevOps Engineer,3.3,Bangalore,Remote,1190179
24,Female,Bachelor's,Product Manager,8.5,Noida,Remote,2238810
37,Male,PhD,Frontend Developer,14.0,Bangalore,Remote,3212787
23,Female,Bachelor's,Full Stack Developer,4.0,Noida,On-site,1175513
51,Female,High School,DevOps Engineer,3.8,Pune,On-site,1073766
55,Female,Bachelor's,QA Engineer,1.8,Pune,Hybrid,772777
52,Male,Master's,QA Engineer,0.4,Chennai,Hybrid,731291
44,Female,Bachelor's,DevOps Engineer,21.9,Hyderabad,On-site,3837185
20,Female,High School,Intern,0.4,Bangalore,Hybrid,360155
57,Male,Master's,Product Manager,22.8,Mumbai,Remote,4676741
35,Female,Bachelor's,Marketing Manager,12.0,Mumbai,Remote,2898337
29,Female,Bachelor's,Frontend Developer,2.1,Hyderabad,Remote,832034
41,Female,Bachelor's,UX Designer,8.8,Gurgaon,Hybrid,1937825
53,Female,Master's,Full Stack Developer,19.1,Gurgaon,On-site,3751311
59,Female,Bachelor's,Full Stack Developer,16.1,Mumbai,On-site,3053179
29,Female,Bachelor's,QA Engineer,6.0,Bangalore,On-site,1513665
59,Female,Master's,QA Engineer,11.8,Hyderabad,Hybrid,2449721
32,Male,Bachelor's,QA Engineer,13.3,Gurgaon,Hybrid,2594770
20,Female,Bachelor's,Intern,0.7,Chennai,Hybrid,576560
32,Male,Bachelor's,Marketing Manager,8.0,Noida,Remote,2124845
51,Female,Master's,Product Manager,21.9,Pune,On-site,4399162
31,Male,Master's,Product Manager,19.7,Hyderabad,Hybrid,4039614
50,Male,Master's,Project Manager,4.5,Hyderabad,Hybrid,1789168
38,Male,Bachelor's,Project Manager,5.4,Chennai,Hybrid,1752487
44,Female,Bachelor's,UX Designer,12.1,Mumbai,Remote,2470015
31,Female,Bachelor's,Product Manager,19.4,Mumbai,Remote,4000415
37,Male,Bachelor's,Full Stack Developer,23.1,Mumbai,Remote,4022507
57,Female,PhD,Data Scientist,7.3,Gurgaon,On-site,2563270
56,Female,Bachelor's,Business Analyst,22.5,Pune,Hybrid,3967670
34,Male,Bachelor's,UX Designer,17.7,Pune,On-site,3195400
24,Female,Master's,Marketing Manager,11.7,Mumbai,On-site,3039371
37,Female,Bachelor's,HR Manager,14.2,Mumbai,On-site,3121448
56,Female,Master's,Business Analyst,15.2,Bangalore,On-site,3073311
39,Female,Bachelor's,Backend Developer,6.6,Hyderabad,Remote,1573204
40,Female,Bachelor's,Full Stack Developer,16.1,Noida,Hybrid,2898401
27,Male,Master's,Product Manager,19.4,Hyderabad,On-site,3989296
33,Male,Bachelor's,Software Engineer,4.3,Gurgaon,On-site,1298357
30,Male,PhD,Full Stack Developer,20.5,Hyderabad,Remote,4130892
57,Male,Master's,HR Manager,21.9,Hyderabad,On-site,4361089
26,Female,Master's,UX Designer,16.7,Gurgaon,On-site,3311339
22,Female,Bachelor's,Product Manager,8.5,Pune,On-site,2225747
43,Male,Bachelor's,Project Manager,16.0,Noida,On-site,3360505
38,Male,Bachelor's,Business Analyst,0.8,Chennai,Hybrid,659989
54,Male,High School,Frontend Developer,19.4,Noida,Hybrid,3480667
56,Male,Bachelor's,Frontend Developer,1.0,Gurgaon,On-site,845114
26,Male,Bachelor's,Business Analyst,3.5,Noida,On-site,1011654
20,Female,Bachelor's,Data Scientist,22.0,Chennai,Remote,4062183
41,Female,Bachelor's,Marketing Manager,21.6,Hyderabad,Remote,4231183
24,Female,Bachelor's,Marketing Manager,3.6,Chennai,Hybrid,1400145
24,Female,Master's,Business Analyst,0.3,Bangalore,Remote,926429
27,Male,Master's,HR Manager,8.1,Gurgaon,On-site,2499871
23,Male,Master's,Marketing Manager,17.7,Noida,Hybrid,3785142
58,Male,Master's,DevOps Engineer,11.2,Chennai,Hybrid,2390056
26,Male,PhD,Data Scientist,3.9,Noida,On-site,1957423
54,Male,Bachelor's,Project Manager,11.5,Mumbai,Remote,2710859
49,Male,Master's,Product Manager,20.2,Chennai,On-site,4167729
57,Female,Bachelor's,Software Engineer,15.0,Hyderabad,On-site,2837815
59,Female,Bachelor's,Full Stack Developer,9.3,Bangalore,On-site,2053518
23,Female,Bachelor's,Frontend Developer,12.9,Bangalore,On-site,2503941
25,Male,Bachelor's,Marketing Manager,12.8,Gurgaon,Remote,3007296
35,Male,Bachelor's,Data Scientist,15.4,Pune,Remote,3151014
19,Female,Master's,Intern,0.8,Gurgaon,On-site,599467
25,Male,Master's,QA Engineer,8.8,Chennai,On-site,2108481
58,Male,Master's,Business Analyst,0.3,Chennai,On-site,833155
57,Female,High School,HR Manager,5.7,Bangalore,Remote,1864001
20,Male,Master's,Project Manager,19.7,Noida,On-site,4097710
51,Female,PhD,HR Manager,8.7,Mumbai,On-site,2871247
23,Male,Bachelor's,DevOps Engineer,7.7,Hyderabad,On-site,1737454
22,Female,Master's,HR Manager,3.6,Chennai,Remote,1679941
22,Male,Bachelor's,Intern,0.9,Hyderabad,On-site,580456
51,Female,Bachelor's,Software Engineer,22.0,Mumbai,Hybrid,3851903
56,Male,Bachelor's,Product Manager,14.5,Pune,On-site,3085103
19,Female,Bachelor's,Business Analyst,4.1,Noida,On-site,1136282
25,Male,Bachelor's,Backend Developer,14.9,Gurgaon,Hybrid,2927887
30,Female,High School,Product Manager,9.5,Hyderabad,Remote,2310401
41,Male,Bachelor's,Backend Developer,18.2,Pune,Remote,3302182
21,Female,Master's,Product Manager,12.1,Gurgaon,On-site,2969207
40,Female,Bachelor's,Software Engineer,24.0,Mumbai,Remote,4195310
42,Female,Bachelor's,QA Engineer,13.6,Chennai,Hybrid,2496635
29,Female,Bachelor's,DevOps Engineer,11.3,Hyderabad,Hybrid,2186548
36,Female,Bachelor's,Full Stack Developer,19.1,Gurgaon,On-site,3553322
21,Female,Master's,UX Designer,22.1,Chennai,Hybrid,4098271
18,Male,Bachelor's,Intern,0.8,Bangalore,Remote,548617
54,Female,Bachelor's,Project Manager,22.3,Pune,Remote,4248877
48,Male,Bachelor's,Data Scientist,10.1,Bangalore,Hybrid,2414320
36,Female,Bachelor's,Data Scientist,18.9,Hyderabad,Hybrid,3697267
30,Male,Master's,Product Manager,10.3,Mumbai,On-site,2833210
22,Male,Bachelor's,DevOps Engineer,11.9,Gurgaon,Remote,2359040
44,Female,Bachelor's,Data Scientist,9.4,Pune,Remote,2283412
30,Male,Master's,DevOps Engineer,10.8,Mumbai,On-site,2473520
26,Female,Bachelor's,Product Manager,8.3,Gurgaon,Remote,2239826
53,Female,Bachelor's,Data Scientist,22.7,Noida,Remote,4259304
30,Male,PhD,UX Designer,19.9,Pune,Hybrid,4040200
21,Male,Bachelor's,HR Manager,17.3,Hyderabad,Hybrid,3588968
25,Female,Master's,Full Stack Developer,15.0,Pune,On-site,2998845
24,Female,Master's,HR Manager,5.4,Bangalore,Hybrid,1984370
21,Female,Bachelor's,Intern,0.7,Mumbai,Remote,586573
34,Male,Bachelor's,Software Engineer,20.8,Chennai,Remote,3591429
43,Female,High School,Product Manager,6.9,Pune,Hybrid,1961627
47,Female,Master's,Backend Developer,3.4,Bangalore,Hybrid,1374159
25,Female,Master's,Frontend Developer,9.1,Noida,Hybrid,2146490
26,Female,Master's,QA Engineer,21.4,Bangalore,On-site,4095577
37,Female,Bachelor's,Software Engineer,22.4,Gurgaon,Hybrid,3974554
20,Female,Bachelor's,Backend Developer,6.4,Mumbai,On-site,1544128
40,Female,Bachelor's,HR Manager,1.9,Pune,Hybrid,1142242
22,Male,Master's,Project Manager,24.3,Chennai,Remote,4718725
22,Female,Bachelor's,Intern,0.4,Pune,Hybrid,585651
26,Male,Bachelor's,Business Analyst,8.8,Chennai,Hybrid,1892588
49,Male,Master's,Backend Developer,14.0,Noida,Hybrid,2849164
54,Male,Bachelor's,Backend Developer,21.4,Pune,Hybrid,3673359
47,Female,Bachelor's,HR Manager,5.5,Chennai,Hybrid,1735120
18,Male,Bachelor's,Full Stack Developer,15.2,Pune,On-site,2764656
33,Female,Bachelor's,Backend Developer,14.5,Gurgaon,On-site,2744423
20,Male,Bachelor's,Intern,0.6,Mumbai,Hybrid,362260
22,Female,Bachelor's,QA Engineer,17.3,Hyderabad,Remote,3126172
38,Male,Bachelor's,Business Analyst,3.4,Pune,Hybrid,1039881
51,Female,Bachelor's,Project Manager,9.6,Gurgaon,Remote,2450212
26,Male,Master's,Frontend Developer,10.2,Pune,Remote,2288435
21,Male,Bachelor's,Intern,0.5,Noida,Remote,527440
39,Female,Bachelor's,UX Designer,15.4,Mumbai,Hybrid,2969202
47,Female,Bachelor's,Product Manager,11.2,Pune,Hybrid,2533113
30,Male,Bachelor's,HR Manager,12.3,Mumbai,On-site,2904233
59,Male,Master's,Data Scientist,12.9,Gurgaon,Hybrid,3132747
59,Male,Bachelor's,Backend Developer,18.2,Noida,Remote,3240650
24,Female,Bachelor's,Frontend Developer,22.8,Mumbai,Remote,3996041
28,Female,High School,DevOps Engineer,8.1,Pune,On-site,1703769
49,Female,Bachelor's,Full Stack Developer,9.4,Mumbai,Hybrid,2069680
48,Male,Bachelor's,Product Manager,1.6,Mumbai,Hybrid,1332659
20,Female,Master's,Intern,0.1,Pune,Remote,314492
53,Male,Bachelor's,HR Manager,11.2,Hyderabad,Remote,2654442
29,Female,Bachelor's,Data Scientist,11.0,Noida,On-site,2418129
35,Male,PhD,Software Engineer,9.1,Chennai,Hybrid,2441703
38,Male,High School,UX Designer,8.2,Mumbai,Remote,1888527
59,Male,Bachelor's,QA Engineer,18.8,Noida,On-site,3356166
38,Male,PhD,Frontend Developer,11.1,Noida,Hybrid,2728602
22,Male,Master's,UX Designer,11.4,Chennai,On-site,2419500
19,Male,Bachelor's,Intern,0.3,Chennai,Hybrid,518049
20,Male,Bachelor's,Product Manager,7.8,Bangalore,Hybrid,2202580
27,Male,Bachelor's,Full Stack Developer,18.8,Mumbai,Hybrid,3501577
43,Female,Master's,Backend Developer,1.2,Gurgaon,Remote,1058584
46,Female,Bachelor's,Full Stack Developer,15.6,Chennai,Hybrid,2894611
54,Female,Bachelor's,DevOps Engineer,9.3,Bangalore,On-site,2087171
54,Male,Bachelor's,Business Analyst,1.0,Hyderabad,On-site,675279
21,Female,Bachelor's,Intern,0.5,Noida,On-site,365372
50,Male,High School,Business Analyst,0.7,Bangalore,Hybrid,790520
38,Male,Bachelor's,Frontend Developer,19.8,Hyderabad,Hybrid,3484768
43,Male,Master's,Data Scientist,13.1,Noida,Remote,2983361
59,Female,Master's,Business Analyst,22.4,Pune,Remote,4028525
56,Female,High School,Software Engineer,23.4,Bangalore,Remote,4112623
24,Male,Bachelor's,Marketing Manager,14.4,Noida,Remote,3070075
24,Male,Master's,Project Manager,3.6,Hyderabad,Hybrid,1716233
18,Male,Master's,Project Manager,19.9,Hyderabad,Remote,4039741
20,Male,Master's,QA Engineer,23.7,Noida,Hybrid,4268932
43,Male,Master's,DevOps Engineer,4.6,Chennai,Remote,1468399
37,Female,Bachelor's,Full Stack Developer,9.9,Bangalore,On-site,2119601
55,Male,Master's,Business Analyst,14.0,Pune,On-site,2797961
59,Male,Bachelor's,UX Designer,15.4,Pune,Remote,2904757
26,Female,Bachelor's,UX Designer,17.1,Mumbai,Remote,3208261
19,Male,PhD,UX Designer,12.5,Bangalore,On-site,3049871
26,Female,Bachelor's,Project Manager,15.0,Hyderabad,Hybrid,3243078
49,Female,Bachelor's,Frontend Developer,3.9,Gurgaon,Remote,1273928
26,Female,Bachelor's,Backend Developer,13.2,Chennai,Remote,2520495
49,Male,Bachelor's,Business Analyst,16.3,Noida,Remote,3009291
38,Female,Bachelor's,UX Designer,9.5,Bangalore,Hybrid,2050024
35,Male,High School,HR Manager,19.4,Pune,Hybrid,3884728
19,Female,Master's,Intern,0.6,Mumbai,Remote,552791
25,Female,Bachelor's,Marketing Manager,9.8,Pune,Remote,2325129
48,Male,Bachelor's,Project Manager,10.1,Hyderabad,On-site,2437030
23,Female,Bachelor's,Intern,0.4,Gurgaon,Remote,344433
22,Female,Master's,Backend Developer,5.6,Bangalore,On-site,1632038
40,Female,Bachelor's,HR Manager,5.8,Mumbai,Hybrid,1949181
18,Female,Bachelor's,Marketing Manager,2.9,Pune,Hybrid,1303066
26,Male,Bachelor's,Product Manager,7.2,Bangalore,Hybrid,2137272
39,Female,Bachelor's,UX Designer,25.0,Mumbai,Hybrid,4427015
24,Male,Bachelor's,DevOps Engineer,9.4,Gurgaon,Remote,2033233
27,Male,Bachelor's,DevOps Engineer,5.7,Bangalore,Remote,1469953
59,Female,Bachelor's,Product Manager,15.3,Gurgaon,Remote,3349598
21,Male,Bachelor's,UX Designer,4.1,Chennai,On-site,1189996
43,Male,Bachelor's,Business Analyst,7.4,Hyderabad,Remote,1580102
23,Male,Bachelor's,Full Stack Developer,23.5,Gurgaon,On-site,4164585
42,Male,Bachelor's,Business Analyst,23.7,Noida,Hybrid,4060348
34,Female,Bachelor's,Project Manager,24.5,Mumbai,Remote,4773812
18,Male,Bachelor's,Intern,0.3,Chennai,Remote,536018
21,Female,Master's,Intern,0.9,Mumbai,Hybrid,353817
33,Female,Master's,Business Analyst,18.7,Noida,On-site,3567344
34,Male,Bachelor's,Marketing Manager,11.1,Mumbai,Hybrid,2674923
52,Female,Master's,Product Manager,6.2,Mumbai,Hybrid,2081509
41,Female,Bachelor's,DevOps Engineer,21.2,Gurgaon,Hybrid,3758825
28,Male,Bachelor's,Project Manager,3.9,Bangalore,On-site,1562305
23,Male,Bachelor's,Data Scientist,23.4,Noida,Hybrid,4364675
21,Male,Bachelor's,QA Engineer,23.6,Bangalore,Hybrid,4207599
38,Female,Master's,Product Manager,3.3,Mumbai,Hybrid,1659572
35,Female,PhD,UX Designer,18.7,Gurgaon,Remote,3938475
52,Male,Master's,Frontend Developer,22.3,Chennai,Hybrid,4022916
24,Male,PhD,HR Manager,17.1,Noida,Remote,4016284
30,Male,Bachelor's,Business Analyst,19.7,Pune,On-site,3407916
49,Female,Bachelor's,Product Manager,14.3,Noida,Hybrid,3051837
23,Male,Master's,Product Manager,7.6,Gurgaon,On-site,2418687
27,Male,Master's,Project Manager,22.2,Pune,On-site,4448674
